,City,Country,Date,Lat,Lng,Max_Temperature,Humidity,Clouds,Wind_Speed
258,moroni,KM,2017-08-23 04:00:00,-11.7,43.26,69.8,94,20,3.36
259,bonthe,SL,2017-08-23 04:37:10,7.53,-12.51,74.42,100,100,4.83
260,beruwala,LK,2017-08-23 04:37:11,6.48,79.98,79.19,100,32,3.15
261,ballina,AU,2017-08-23 04:37:13,-28.87,153.57,69.65,93,0,2.93
262,kloulklubed,PW,2017-08-23 03:55:00,7.04,134.26,87.8,70,75,4.7
263,doctor pedro p. pena,PY,2017-08-23 04:00:00,-25.33,-57.53,69.8,64,0,13.87
264,brae,GB,2017-08-23 03:50:00,60.4,-1.35,55.4,93,0,12.75
265,clarence town,AU,2017-08-23 04:00:00,-32.58,151.78,69.8,60,20,11.41
266,tahta,EG,2017-08-23 04:00:00,26.77,31.5,78.8,54,0,16.11
267,fort wellington,GY,2017-08-23 04:37:20,6.4,-57.6,82.16,99,0,10.76
268,meyungs,PW,2017-08-23 03:55:00,7.34,134.47,87.8,70,75,4.7
269,khormuj,IR,2017-08-23 04:37:22,28.75,51.5,99.71,17,0,3.38
270,mansa,IN,2017-08-23 04:37:23,29.98,75.38,85.67,85,44,8.41
271,rach gia,VN,2017-08-23 04:32:25,10.02,105.08,85.13,83,80,15.46
272,lamu,KE,2017-08-23 04:36:30,-2.27,40.9,80.63,76,88,15.68
273,bossembele,CF,2017-08-23 04:37:26,5.27,17.62,67.85,100,80,4.94
274,luganville,VU,2017-08-23 04:37:27,-15.53,167.17,74.33,100,88,18.14
275,hamilton,CA,2017-08-23 04:00:00,43.23,-79.95,62.6,93,5,4.7
276,rostaq,IR,2017-08-23 04:00:00,26.56,53.99,93.2,75,0,20.8
277,edd,ER,2017-08-23 04:37:31,13.93,41.69,93.14,38,68,3.6
278,neyshabur,IR,2017-08-23 04:37:32,36.21,58.8,76.13,28,0,4.05
279,bayir,TR,2017-08-23 03:50:00,37.34,28.14,68,77,0,2.24
280,garissa,KE,2017-08-23 04:37:34,-0.45,39.64,80.18,55,12,15.23
281,dzaoudzi,YT,2017-08-23 04:00:00,-12.79,45.27,77,83,40,4.7
282,bakel,NL,2017-08-23 04:03:00,51.49,5.68,59,87,75,6.93
